temp_C,soc,days,reported,predicted,error_pct,in_dist_error_pct,edge_error_pct
25.0,0.5,239.7125,0.9770072909393068,0.959493918456286,-1.792552895504321,-1.792552895504321,
25.0,1.0,239.7125,0.9405766135422058,0.9351902695300576,-0.5726640376336039,-0.5726640376336039,
40.0,0.0,239.7125,0.9880535576825432,0.9322362276631028,-5.649221095904832,-5.649221095904832,
40.0,0.125,239.7125,0.9767541930929208,0.9322362276631028,-4.557745003259271,-4.557745003259271,
40.0,0.25,239.7125,0.9656184279300832,0.9322362276631028,-3.457079867307332,-3.457079867307332,
40.0,0.375,239.7125,0.956113795895636,0.9322362276631028,-2.497356312086896,-2.497356312086896,
40.0,0.5,239.7125,0.9569250809353328,0.8870603794385047,-7.300958339240085,-7.300958339240085,
40.0,0.625,239.7125,0.9527112657415656,0.8870603794385047,-6.890953079258488,-6.890953079258488,
40.0,0.75,239.7125,0.9421703571648448,0.8870603794385047,-5.84925829041954,-5.84925829041954,
40.0,0.875,239.7125,0.9265082169629318,0.8192966071016075,-11.571576797533547,-11.571576797533547,
40.0,1.0,239.7125,0.92715430863279,0.8192966071016075,-11.633198543857583,-11.633198543857583,
60.0,0.0,239.7125,0.9659517631194392,0.7696513161742332,-20.321972011446455,,-20.321972011446455
60.0,0.5,239.7125,0.8973876883293318,0.6160855269570554,-31.346781890442145,,-31.346781890442145
60.0,1.0,239.7125,0.8696009144842503,0.38573684313128853,-55.64208400584947,,-55.64208400584947
0.0,0.5,266.17083333333335,0.988190084308079,0.9939833333499192,0.586248448940527,0.586248448940527,
10.0,0.5,266.17083333333335,0.9839497041694998,0.9862676037003576,0.23557093630250456,0.23557093630250456,
25.0,0.0,266.17083333333335,0.9927371326129965,0.9743901889308424,-1.8481169968794084,-1.8481169968794084,
25.0,0.5,266.17083333333335,0.9750623548750956,0.957316981551404,-1.8199218988374133,-1.8199218988374133,
25.0,1.0,266.17083333333335,0.93767948049507,0.9317071704822464,-0.6369244648150336,-0.6369244648150336,
40.0,0.0,266.17083333333335,0.9879421873965472,0.9285943681893591,-6.007215803141583,-6.007215803141583,
40.0,0.125,266.17083333333335,0.9744545732787822,0.9285943681893591,-4.70624350759785,-4.70624350759785,
40.0,0.25,266.17083333333335,0.9629742173246244,0.9285943681893591,-3.5701733771004593,-3.5701733771004593,
40.0,0.375,266.17083333333335,0.9536425216487968,0.9285943681893591,-2.626576824209847,-2.626576824209847,
40.0,0.5,266.17083333333335,0.9539825568067338,0.8809906136489318,-7.651286979725075,-7.651286979725075,
40.0,0.625,266.17083333333335,0.9499703513218444,0.8809906136489318,-7.261251635583163,-7.261251635583163,
40.0,0.75,266.17083333333335,0.9400000181788444,0.8809906136489318,-6.277596105182778,-6.277596105182778,
40.0,0.875,266.17083333333335,0.9237036306471478,0.8095849818382909,-12.354465763970774,-12.354465763970774,
40.0,1.0,266.17083333333335,0.923940833159727,0.8095849818382909,-12.376966924424993,-12.376966924424993,
60.0,0.0,266.17083333333335,0.9659978604967964,0.7572715812875069,-21.60732313650726,,-21.60732313650726
60.0,0.5,266.17083333333335,0.8904252892290923,0.5954526354791783,-33.12716488603933,,-33.12716488603933
60.0,1.0,266.17083333333335,0.8623199403202503,0.352724216766685,-59.095899297459184,,-59.095899297459184
0.0,0.5,292.77916666666664,0.9878564992361594,0.9936897610741204,0.5904968831476559,0.5904968831476559,
10.0,0.5,292.77916666666664,0.9836568192726508,0.9855975564685067,0.19729819972080345,0.19729819972080345,
25.0,0.0,292.77916666666664,0.9910500126416948,0.9731406049077275,-1.807114424652382,-1.807114424652382,
25.0,0.5,292.77916666666664,0.9747696500366356,0.9552343415128791,-2.0040948672357928,-2.0040948672357928,
25.0,1.0,292.77916666666664,0.9342371371799376,0.9283749464206066,-0.6274842356434769,-0.6274842356434769,
40.0,0.0,292.77916666666664,0.985929622620215,0.9251102606170677,-6.168732595893939,-6.168732595893939,
40.0,0.125,292.77916666666664,0.9728367470533932,0.9251102606170677,-4.905909093265992,-4.905909093265992,
40.0,0.25,292.77916666666664,0.9609250140538312,0.9251102606170677,-3.7271122005319337,-3.7271122005319337,
40.0,0.375,292.77916666666664,0.9507331649257108,0.9251102606170677,-2.69506789643183,-2.69506789643183,
40.0,0.5,292.77916666666664,0.9516439445802584,0.8751837676951129,-8.03453616455993,-8.03453616455993,
40.0,0.625,292.77916666666664,0.9475392477176908,0.8751837676951129,-7.636145964070451,-7.636145964070451,
40.0,0.75,292.77916666666664,0.9367277238698444,0.8751837676951129,-6.570100852836813,-6.570100852836813,
40.0,0.875,292.77916666666664,0.9199657722791034,0.8002940283121805,-13.008282217984114,-13.008282217984114,
40.0,1.0,292.77916666666664,0.920767480642248,0.8002940283121805,-13.084025539871973,-13.084025539871973,
